symbol,name,unit,reference,footprint,alias,description,keywords,document,version,a,b,c,d,e,f,g,h,q,cp,oe,y,z,vcc,gnd
logic_buffer_enable_not_power,74AHC2G125GD,1,IC,xson_8,74AHCT2G125GD,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G125.pdf,SOT996-2,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable_not,74AHC2G125GD,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_power,74AHC2G126DP,1,IC,tssop_8,74AHCT2G126DP,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G126.pdf,SOT505-2,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable,74AHC2G126DP,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_power,74AHC2G126DC,1,IC,vssop_8,74AHCT2G126DC,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G126.pdf,SOT765-1,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable,74AHC2G126DC,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_power,74AHC2G126GD,1,IC,xson_8,74AHCT2G126GD,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G126.pdf,SOT996-2,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable,74AHC2G126GD,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_not_power,74AHC2G241DP,1,IC,tssop_8,74AHCT2G241DP,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G241.pdf,SOT505-2,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable,74AHC2G241DP,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_not_power,74AHC2G241DC,1,IC,vssop_8,74AHCT2G241DC,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G241.pdf,SOT765-1,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable,74AHC2G241DC,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_buffer_enable_not_power,74AHC2G241GD,1,IC,xson_8,74AHCT2G241GD,"Dual bus buffer/line driver, 3-state","dual, buffer, 3-state, smd",doc/logic/74AHC_AHCT2G241.pdf,SOT996-2,2,,,,,,,,,,1,6,,8,4
logic_buffer_enable,74AHC2G241GD,2,,,,,,,,5,,,,,,,,,,7,3,,,
logic_not_power,74AHC3G04DP,1,IC,tssop_8,74AHCT3G04DP,Triple inverter,"triple, inverter, smd",doc/logic/74AHC_AHCT3G04.pdf,SOT505-2,1,,,,,,,,,,,7,,8,4
logic_not,74AHC3G04DP,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_not,74AHC3G04DP,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_not_power,74AHC3G04DC,1,IC,vssop_8,74AHCT3G04DC,Triple inverter,"triple, inverter, smd",doc/logic/74AHC_AHCT3G04.pdf,SOT765-1,1,,,,,,,,,,,7,,8,4
logic_not,74AHC3G04DC,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_not,74AHC3G04DC,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_not_power,74AHC3G04GD,1,IC,xson_8,74AHCT3G04GD,Triple inverter,"triple, inverter, smd",doc/logic/74AHC_AHCT3G04.pdf,SOT996-2,1,,,,,,,,,,,7,,8,4
logic_not,74AHC3G04GD,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_not,74AHC3G04GD,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_schmitt_not_power,74AHC3G14DP,1,IC,tssop_8,74AHCT3G14DP,Triple inverting Schmitt trigger,"triple, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT3G14.pdf,SOT505-2,1,,,,,,,,,,,7,,8,4
logic_schmitt_not,74AHC3G14DP,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_schmitt_not,74AHC3G14DP,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_schmitt_not_power,74AHC3G14DC,1,IC,vssop_8,74AHCT3G14DC,Triple inverting Schmitt trigger,"triple, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT3G14.pdf,SOT765-1,1,,,,,,,,,,,7,,8,4
logic_schmitt_not,74AHC3G14DC,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_schmitt_not,74AHC3G14DC,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_schmitt_not_power,74AHC3G14GT,1,IC,xson_8,74AHCT3G14GT,Triple inverting Schmitt trigger,"triple, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT3G14.pdf,SOT833-1,1,,,,,,,,,,,7,,8,4
logic_schmitt_not,74AHC3G14GT,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_schmitt_not,74AHC3G14GT,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_schmitt_not_power,74AHC3G14GD,1,IC,xson_8,74AHCT3G14GD,Triple inverting Schmitt trigger,"triple, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT3G14.pdf,SOT996-2,1,,,,,,,,,,,7,,8,4
logic_schmitt_not,74AHC3G14GD,2,,,,,,,,3,,,,,,,,,,,5,,,
logic_schmitt_not,74AHC3G14GD,3,,,,,,,,6,,,,,,,,,,,2,,,
logic_nand2_power,74AHC00N,1,IC,dip_14,74AHCT00N,Quad 2-input NAND gate,"quad, nand",doc/logic/74AHC_AHCT00.pdf,,1,2,,,,,,,,,,3,,14,7
logic_nand2,74AHC00N,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_nand2,74AHC00N,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_nand2,74AHC00N,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_nand2_power,74AHC00D,1,IC,so_14,74AHCT00D,Quad 2-input NAND gate,"quad, nand, smd",doc/logic/74AHC_AHCT00.pdf,SOT108-1,1,2,,,,,,,,,,3,,14,7
logic_nand2,74AHC00D,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_nand2,74AHC00D,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_nand2,74AHC00D,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_nand2_power,74AHC00PW,1,IC,tssop_14,74AHCT00PW,Quad 2-input NAND gate,"quad, nand, smd",doc/logic/74AHC_AHCT00.pdf,SOT402-1,1,2,,,,,,,,,,3,,14,7
logic_nand2,74AHC00PW,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_nand2,74AHC00PW,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_nand2,74AHC00PW,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_nand2_power,74AHC00BQ,1,IC,dhvqfn_14,74AHCT00BQ,Quad 2-input NAND gate,"quad, nand, smd",doc/logic/74AHC_AHCT00.pdf,SOT762-1,1,2,,,,,,,,,,3,,14,7
logic_nand2,74AHC00BQ,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_nand2,74AHC00BQ,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_nand2,74AHC00BQ,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_nor2_power,74AHC02N,1,IC,dip_14,74AHCT02N,Quad 2-input NOR gate,"quad, nor",doc/logic/74AHC_AHCT02.pdf,,2,3,,,,,,,,,,1,,14,7
logic_nor2,74AHC02N,2,,,,,,,,5,6,,,,,,,,,,4,,,
logic_nor2,74AHC02N,3,,,,,,,,8,9,,,,,,,,,,10,,,
logic_nor2,74AHC02N,4,,,,,,,,11,12,,,,,,,,,,13,,,
logic_nor2_power,74AHC02D,1,IC,so_14,74AHCT02D,Quad 2-input NOR gate,"quad, nor, smd",doc/logic/74AHC_AHCT02.pdf,SOT108-1,2,3,,,,,,,,,,1,,14,7
logic_nor2,74AHC02D,2,,,,,,,,5,6,,,,,,,,,,4,,,
logic_nor2,74AHC02D,3,,,,,,,,8,9,,,,,,,,,,10,,,
logic_nor2,74AHC02D,4,,,,,,,,11,12,,,,,,,,,,13,,,
logic_nor2_power,74AHC02PW,1,IC,tssop_14,74AHCT02PW,Quad 2-input NOR gate,"quad, nor, smd",doc/logic/74AHC_AHCT02.pdf,SOT402-1,2,3,,,,,,,,,,1,,14,7
logic_nor2,74AHC02PW,2,,,,,,,,5,6,,,,,,,,,,4,,,
logic_nor2,74AHC02PW,3,,,,,,,,8,9,,,,,,,,,,10,,,
logic_nor2,74AHC02PW,4,,,,,,,,11,12,,,,,,,,,,13,,,
logic_nor2_power,74AHC02BQ,1,IC,dhvqfn_14,74AHCT02BQ,Quad 2-input NOR gate,"quad, nor, smd",doc/logic/74AHC_AHCT02.pdf,SOT762-1,2,3,,,,,,,,,,1,,14,7
logic_nor2,74AHC02BQ,2,,,,,,,,5,6,,,,,,,,,,4,,,
logic_nor2,74AHC02BQ,3,,,,,,,,8,9,,,,,,,,,,10,,,
logic_nor2,74AHC02BQ,4,,,,,,,,11,12,,,,,,,,,,13,,,
logic_not_power,74AHC04N,1,IC,dip_14,74AHCT04N,Hex inverter,"hex, inverter",doc/logic/74AHC_AHCT04.pdf,,1,,,,,,,,,,,2,,14,7
logic_not,74AHC04N,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_not,74AHC04N,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_not,74AHC04N,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_not,74AHC04N,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_not,74AHC04N,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_not_power,74AHC04D,1,IC,so_14,74AHCT04D,Hex inverter,"hex, inverter, smd",doc/logic/74AHC_AHCT04.pdf,SOT108-1,1,,,,,,,,,,,2,,14,7
logic_not,74AHC04D,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_not,74AHC04D,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_not,74AHC04D,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_not,74AHC04D,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_not,74AHC04D,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_not_power,74AHC04PW,1,IC,tssop_14,74AHCT04PW,Hex inverter,"hex, inverter, smd",doc/logic/74AHC_AHCT04.pdf,SOT402-1,1,,,,,,,,,,,2,,14,7
logic_not,74AHC04PW,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_not,74AHC04PW,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_not,74AHC04PW,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_not,74AHC04PW,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_not,74AHC04PW,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_not_power,74AHC04BQ,1,IC,dhvqfn_14,74AHCT04BQ,Hex inverter,"hex, inverter, smd",doc/logic/74AHC_AHCT04.pdf,SOT762-1,1,,,,,,,,,,,2,,14,7
logic_not,74AHC04BQ,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_not,74AHC04BQ,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_not,74AHC04BQ,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_not,74AHC04BQ,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_not,74AHC04BQ,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_and2_power,74AHC08N,1,IC,dip_14,74AHCT08N,Quad 2-input AND gate,"quad, and",doc/logic/74AHC_AHCT08.pdf,,1,2,,,,,,,,,,3,,14,7
logic_and2,74AHC08N,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_and2,74AHC08N,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_and2,74AHC08N,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_and2_power,74AHC08D,1,IC,so_14,74AHCT08D,Quad 2-input AND gate,"quad, and, smd",doc/logic/74AHC_AHCT08.pdf,SOT108-1,1,2,,,,,,,,,,3,,14,7
logic_and2,74AHC08D,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_and2,74AHC08D,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_and2,74AHC08D,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_and2_power,74AHC08PW,1,IC,tssop_14,74AHCT08PW,Quad 2-input AND gate,"quad, and, smd",doc/logic/74AHC_AHCT08.pdf,SOT402-1,1,2,,,,,,,,,,3,,14,7
logic_and2,74AHC08PW,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_and2,74AHC08PW,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_and2,74AHC08PW,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_and2_power,74AHC08BQ,1,IC,dhvqfn_14,74AHCT08BQ,Quad 2-input AND gate,"quad, and, smd",doc/logic/74AHC_AHCT08.pdf,SOT762-1,1,2,,,,,,,,,,3,,14,7
logic_and2,74AHC08BQ,2,,,,,,,,4,5,,,,,,,,,,6,,,
logic_and2,74AHC08BQ,3,,,,,,,,9,10,,,,,,,,,,8,,,
logic_and2,74AHC08BQ,4,,,,,,,,12,13,,,,,,,,,,11,,,
logic_schmitt_not_power,74AHC14N,1,IC,dip_14,74AHCT14N,Hex inverting Schmitt trigger,"hex, inverter, schmitt trigger",doc/logic/74AHC_AHCT14.pdf,,1,,,,,,,,,,,2,,14,7
logic_schmitt_not,74AHC14N,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_schmitt_not,74AHC14N,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_schmitt_not,74AHC14N,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_schmitt_not,74AHC14N,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_schmitt_not,74AHC14N,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_schmitt_not_power,74AHC14D,1,IC,so_14,74AHCT14D,Hex inverting Schmitt trigger,"hex, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT14.pdf,SOT108-1,1,,,,,,,,,,,2,,14,7
logic_schmitt_not,74AHC14D,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_schmitt_not,74AHC14D,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_schmitt_not,74AHC14D,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_schmitt_not,74AHC14D,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_schmitt_not,74AHC14D,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_schmitt_not_power,74AHC14PW,1,IC,tssop_14,74AHCT14PW,Hex inverting Schmitt trigger,"hex, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT14.pdf,SOT402-1,1,,,,,,,,,,,2,,14,7
logic_schmitt_not,74AHC14PW,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_schmitt_not,74AHC14PW,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_schmitt_not,74AHC14PW,4,,,,,,,,9,,,,,,,,,,,8,,,
logic_schmitt_not,74AHC14PW,5,,,,,,,,11,,,,,,,,,,,10,,,
logic_schmitt_not,74AHC14PW,6,,,,,,,,13,,,,,,,,,,,12,,,
logic_schmitt_not_power,74AHC14BQ,1,IC,dhvqfn_14,74AHCT14BQ,Hex inverting Schmitt trigger,"hex, inverter, schmitt trigger, smd",doc/logic/74AHC_AHCT14.pdf,SOT762-1,1,,,,,,,,,,,2,,14,7
logic_schmitt_not,74AHC14BQ,2,,,,,,,,3,,,,,,,,,,,4,,,
logic_schmitt_not,74AHC14BQ,3,,,,,,,,5,,,,,,,,,,,6,,,
logic_schmitt_not,74AHC14BQ,4,,,,,,,,9,,,,,,,,,,,8,,,
