symbol,name,1,2,reference,alias,document,footprint,description,keywords,manufacturer,value
inductor,74454220,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 220 uH, WE-PD3, Type L",inductor,Würth,220 uH,
inductor,74454233,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 330 uH, WE-PD3, Type L",inductor,Würth,330 uH,
inductor,74454239,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 390 uH, WE-PD3, Type L",inductor,Würth,390 uH,
inductor,74454247,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 470 uH, WE-PD3, Type L",inductor,Würth,470 uH,
inductor,74454268,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 680 uH, WE-PD3, Type L",inductor,Würth,680 uH,
inductor,7445430,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeL.pdf,we_pd3_l,"Inductor 1000 uH, WE-PD3, Type L",inductor,Würth,1000 uH,
inductor,74459010,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 10 uH, WE-PD3, Type X",inductor,Würth,10 uH,
inductor,74459115,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 15 uH, WE-PD3, Type X",inductor,Würth,15 uH,
inductor,74459122,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 22 uH, WE-PD3, Type X",inductor,Würth,22 uH,
inductor,74459133,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 33 uH, WE-PD3, Type X",inductor,Würth,33 uH,
inductor,74459147,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 47 uH, WE-PD3, Type X",inductor,Würth,47 uH,
inductor,74459168,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 68 uH, WE-PD3, Type X",inductor,Würth,68 uH,
inductor,7445920,1,2,L,,/doc/inductor/Würth/WE-PD3-TypeX.pdf,we_pd3_x,"Inductor 100 uH, WE-PD3, Type X",inductor,Würth,100 uH,
