symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_180R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 180R 5% 0.05W,"resistor, smd",1,2,180R,5%,0.05W
resistor,resistor_200R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 200R 5% 0.05W,"resistor, smd",1,2,200R,5%,0.05W
resistor,resistor_220R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 220R 5% 0.05W,"resistor, smd",1,2,220R,5%,0.05W
resistor,resistor_240R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 240R 5% 0.05W,"resistor, smd",1,2,240R,5%,0.05W
resistor,resistor_270R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 270R 5% 0.05W,"resistor, smd",1,2,270R,5%,0.05W
resistor,resistor_300R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 300R 5% 0.05W,"resistor, smd",1,2,300R,5%,0.05W
resistor,resistor_330R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 330R 5% 0.05W,"resistor, smd",1,2,330R,5%,0.05W
resistor,resistor_360R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 360R 5% 0.05W,"resistor, smd",1,2,360R,5%,0.05W
resistor,resistor_390R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 390R 5% 0.05W,"resistor, smd",1,2,390R,5%,0.05W
resistor,resistor_430R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 430R 5% 0.05W,"resistor, smd",1,2,430R,5%,0.05W
resistor,resistor_470R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 470R 5% 0.05W,"resistor, smd",1,2,470R,5%,0.05W
resistor,resistor_510R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 510R 5% 0.05W,"resistor, smd",1,2,510R,5%,0.05W
resistor,resistor_560R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 560R 5% 0.05W,"resistor, smd",1,2,560R,5%,0.05W
resistor,resistor_620R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 620R 5% 0.05W,"resistor, smd",1,2,620R,5%,0.05W
resistor,resistor_680R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 680R 5% 0.05W,"resistor, smd",1,2,680R,5%,0.05W
resistor,resistor_750R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 750R 5% 0.05W,"resistor, smd",1,2,750R,5%,0.05W
resistor,resistor_820R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 820R 5% 0.05W,"resistor, smd",1,2,820R,5%,0.05W
resistor,resistor_910R_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 910R 5% 0.05W,"resistor, smd",1,2,910R,5%,0.05W
resistor,resistor_1k0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k0 5% 0.05W,"resistor, smd",1,2,1k0,5%,0.05W
resistor,resistor_1k1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k1 5% 0.05W,"resistor, smd",1,2,1k1,5%,0.05W
resistor,resistor_1k2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k2 5% 0.05W,"resistor, smd",1,2,1k2,5%,0.05W
resistor,resistor_1k3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k3 5% 0.05W,"resistor, smd",1,2,1k3,5%,0.05W
resistor,resistor_1k5_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1k5 5% 0.05W,"resistor, smd",1,2,1k5,5%,0.05W
