symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_4n7_200V_chip_1210,C,chip_capacitor_1210,Capacitor 4n7F 200V,"capacitor,smd",1,2,4n7,5%,200V,"12102C472"
capacitor,capacitor_680n_10V_chip_0805,C,chip_capacitor_0805,Capacitor 680nF 10V,"capacitor,smd",1,2,680n,5%,10V,"0805ZC684"
capacitor,capacitor_150n_100V_chip_1825,C,chip_capacitor_1825,Capacitor 150nF 100V,"capacitor,smd",1,2,150n,5%,100V,"18251C154"
capacitor,capacitor_10n_200V_chip_0805,C,chip_capacitor_0805,Capacitor 10nF 200V,"capacitor,smd",1,2,10n,5%,200V,"08052C103"
capacitor,capacitor_680n_10V_chip_0603,C,chip_capacitor_0603,Capacitor 680nF 10V,"capacitor,smd",1,2,680n,5%,10V,"0603ZC684"
capacitor,capacitor_150n_100V_chip_0805,C,chip_capacitor_0805,Capacitor 150nF 100V,"capacitor,smd",1,2,150n,5%,100V,"08051C154"
capacitor,capacitor_330p_100V_chip_0603,C,chip_capacitor_0603,Capacitor 330pF 100V,"capacitor,smd",1,2,330p,5%,100V,"06031C331"
capacitor,capacitor_470n_50V_chip_1206,C,chip_capacitor_1206,Capacitor 470nF 50V,"capacitor,smd",1,2,470n,5%,50V,"12065C474"
capacitor,capacitor_1n5_50V_chip_0402,C,chip_capacitor_0402,Capacitor 1n5F 50V,"capacitor,smd",1,2,1n5,5%,50V,"04025C152"
capacitor,capacitor_1n5_10V_chip_0201,C,chip_capacitor_0201,Capacitor 1n5F 10V,"capacitor,smd",1,2,1n5,5%,10V,"0201ZC152"
capacitor,capacitor_10n_50V_chip_1825,C,chip_capacitor_1825,Capacitor 10nF 50V,"capacitor,smd",1,2,10n,5%,50V,"18255C103"
capacitor,capacitor_1u_6.3V_chip_0402,C,chip_capacitor_0402,Capacitor 1uF 6.3V,"capacitor,smd",1,2,1u,5%,6.3V,"04026C1004"
capacitor,capacitor_680n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 680nF 25V,"capacitor,smd",1,2,680n,5%,25V,"18123C684"
capacitor,capacitor_680p_10V_chip_0201,C,chip_capacitor_0201,Capacitor 680pF 10V,"capacitor,smd",1,2,680p,5%,10V,"0201ZC681"
capacitor,capacitor_2n2_16V_chip_0805,C,chip_capacitor_0805,Capacitor 2n2F 16V,"capacitor,smd",1,2,2n2,5%,16V,"0805YC222"
capacitor,capacitor_33n_50V_chip_1825,C,chip_capacitor_1825,Capacitor 33nF 50V,"capacitor,smd",1,2,33n,5%,50V,"18255C333"
capacitor,capacitor_68n_100V_chip_2225,C,chip_capacitor_2225,Capacitor 68nF 100V,"capacitor,smd",1,2,68n,5%,100V,"22251C683"
capacitor,capacitor_6n8_10V_chip_1206,C,chip_capacitor_1206,Capacitor 6n8F 10V,"capacitor,smd",1,2,6n8,5%,10V,"1206ZC682"
capacitor,capacitor_22n_500V_chip_2220,C,chip_capacitor_2220,Capacitor 22nF 500V,"capacitor,smd",1,2,22n,5%,500V,"22207C223"
capacitor,capacitor_100n_200V_chip_1812,C,chip_capacitor_1812,Capacitor 100nF 200V,"capacitor,smd",1,2,100n,5%,200V,"18122C104"
capacitor,capacitor_68n_100V_chip_2220,C,chip_capacitor_2220,Capacitor 68nF 100V,"capacitor,smd",1,2,68n,5%,100V,"22201C683"
capacitor,capacitor_22n_25V_chip_0805,C,chip_capacitor_0805,Capacitor 22nF 25V,"capacitor,smd",1,2,22n,5%,25V,"08053C223"
capacitor,capacitor_220p_100V_chip_0603,C,chip_capacitor_0603,Capacitor 220pF 100V,"capacitor,smd",1,2,220p,5%,100V,"06031C221"
capacitor,capacitor_1u5_200V_chip_2225,C,chip_capacitor_2225,Capacitor 1u5F 200V,"capacitor,smd",1,2,1u5,5%,200V,"22252C155"
capacitor,capacitor_100n_200V_chip_1206,C,chip_capacitor_1206,Capacitor 100nF 200V,"capacitor,smd",1,2,100n,5%,200V,"12062C104"
capacitor,capacitor_68n_500V_chip_2220,C,chip_capacitor_2220,Capacitor 68nF 500V,"capacitor,smd",1,2,68n,5%,500V,"22207C683"
capacitor,capacitor_470n_50V_chip_2220,C,chip_capacitor_2220,Capacitor 470nF 50V,"capacitor,smd",1,2,470n,5%,50V,"22205C474"
capacitor,capacitor_47u_10V_chip_1210,C,chip_capacitor_1210,Capacitor 47uF 10V,"capacitor,smd",1,2,47u,5%,10V,"1210ZC476"
capacitor,capacitor_10n_50V_chip_1210,C,chip_capacitor_1210,Capacitor 10nF 50V,"capacitor,smd",1,2,10n,5%,50V,"12105C103"
capacitor,capacitor_3n3_10V_chip_0805,C,chip_capacitor_0805,Capacitor 3n3F 10V,"capacitor,smd",1,2,3n3,5%,10V,"0805ZC332"
capacitor,capacitor_330p_10V_chip_0201,C,chip_capacitor_0201,Capacitor 330pF 10V,"capacitor,smd",1,2,330p,5%,10V,"0201ZC331"
