symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_7p7_100V_chip_0201,C,chip_capacitor_0201,Capacitor 7p7 5% 100V,"capacitor,smd",1,2,7p7,5%,100V,"GRM0335C2A7R7,GRM0332C2A7R7"
capacitor,capacitor_0p6_50V_chip_0402,C,chip_capacitor_0402,Capacitor 0p6 5% 50V,"capacitor,smd",1,2,0p6,5%,50V,"GRM1555C1H0R6,GRM1554C1H0R6,GRM1555C1H0R6,GRM1554C1H0R6,GRM1555C1H0R6,GRM1554C1H0R6"
capacitor,capacitor_68n_100V_chip_2225,C,chip_capacitor_2225,Capacitor 68n 5% 100V,"capacitor,smd",1,2,68n,5%,100V,"22251A683"
capacitor,capacitor_100n_200V_chip_1812,C,chip_capacitor_1812,Capacitor 100n 5% 200V,"capacitor,smd",1,2,100n,5%,200V,"18122A104"
capacitor,capacitor_68n_100V_chip_2220,C,chip_capacitor_2220,Capacitor 68n 5% 100V,"capacitor,smd",1,2,68n,5%,100V,"22201A683"
capacitor,capacitor_4p3_50V_chip_0603,C,chip_capacitor_0603,Capacitor 4p3 5% 50V,"capacitor,smd",1,2,4p3,5%,50V,"GRM1895C1H4R3,GRM1892C1H4R3"
capacitor,capacitor_220n_50V_chip_2225,C,chip_capacitor_2225,Capacitor 220n 5% 50V,"capacitor,smd",1,2,220n,5%,50V,"22255A224"
capacitor,capacitor_390p_630V_chip_1206,C,chip_capacitor_1206,Capacitor 390p 5% 630V,"capacitor,smd",1,2,390p,5%,630V,"GRM31A5C2J391,GRM31A7U2J391"
capacitor,capacitor_2p5_100V_chip_0402,C,chip_capacitor_0402,Capacitor 2p5 5% 100V,"capacitor,smd",1,2,2p5,5%,100V,"GRM1555C2A2R5,GRM1553C2A2R5"
capacitor,capacitor_330p_10V_chip_0201,C,chip_capacitor_0201,Capacitor 330p 5% 10V,"capacitor,smd",1,2,330p,5%,10V,"201ZA331"
capacitor,capacitor_47p_50V_chip_0201,C,chip_capacitor_0201,Capacitor 47p 5% 50V,"capacitor,smd",1,2,47p,5%,50V,"GRM0335C1H470,GRM0332C1H470"
capacitor,capacitor_9p3_50V_chip_0402,C,chip_capacitor_0402,Capacitor 9p3 5% 50V,"capacitor,smd",1,2,9p3,5%,50V,"GRM1555C1H9R3,GRM1552C1H9R3"
capacitor,capacitor_10n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 10n 5% 25V,"capacitor,smd",1,2,10n,5%,25V,"18123A103"
capacitor,capacitor_3n3_250V_chip_1206,C,chip_capacitor_1206,Capacitor 3n3 5% 250V,"capacitor,smd",1,2,3n3,5%,250V,"GRM31A7U2E332"
capacitor,capacitor_4p8_100V_chip_0402,C,chip_capacitor_0402,Capacitor 4p8 5% 100V,"capacitor,smd",1,2,4p8,5%,100V,"GRM1555C2A4R8,GRM1552C2A4R8"
capacitor,capacitor_1u_6.3V_chip_0402,C,chip_capacitor_0402,Capacitor 1u 5% 6.3V,"capacitor,smd",1,2,1u,5%,6.3V,"4026A1004"
capacitor,capacitor_2u2_100V_chip_1210,C,chip_capacitor_1210,Capacitor 2u2 5% 100V,"capacitor,smd",1,2,2u2,5%,100V,"12101A225"
capacitor,capacitor_4n7_500V_chip_1210,C,chip_capacitor_1210,Capacitor 4n7 5% 500V,"capacitor,smd",1,2,4n7,5%,500V,"12107A472"
capacitor,capacitor_470n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 470n 5% 16V,"capacitor,smd",1,2,470n,5%,16V,"805YA474"
capacitor,capacitor_1u_100V_chip_1825,C,chip_capacitor_1825,Capacitor 1u 5% 100V,"capacitor,smd",1,2,1u,5%,100V,"18251A1004"
capacitor,capacitor_10n_16V_chip_1210,C,chip_capacitor_1210,Capacitor 10n 5% 16V,"capacitor,smd",1,2,10n,5%,16V,"1210YA103"
capacitor,capacitor_3p6_100V_chip_0201,C,chip_capacitor_0201,Capacitor 3p6 5% 100V,"capacitor,smd",1,2,3p6,5%,100V,"GRM0335C2A3R6,GRM0332C2A3R6"
capacitor,capacitor_15p_200V_chip_0805,C,chip_capacitor_0805,Capacitor 15p 5% 200V,"capacitor,smd",1,2,15p,5%,200V,"GRM21A5C2D150"
capacitor,capacitor_56p_200V_chip_0805,C,chip_capacitor_0805,Capacitor 56p 5% 200V,"capacitor,smd",1,2,56p,5%,200V,"GRM21A5C2D560"
capacitor,capacitor_100p_250V_chip_0805,C,chip_capacitor_0805,Capacitor 100p 5% 250V,"capacitor,smd",1,2,100p,5%,250V,"GRM21A5C2E101,GRM21A7U2E101"
capacitor,capacitor_47n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 47n 5% 100V,"capacitor,smd",1,2,47n,5%,100V,"12101A473"
capacitor,capacitor_8p8_100V_chip_0603,C,chip_capacitor_0603,Capacitor 8p8 5% 100V,"capacitor,smd",1,2,8p8,5%,100V,"GRM1895C2A8R8,GRM1892C2A8R8"
