symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage
capacitor,capacitor_1500pF_100_chip_capacitor_1206V,C,chip_capacitor_1206,Capacitor 1500pF 5% 100V,"capacitor,smd",1,2,1500pF,5%,100V
capacitor,capacitor_1500pF_200_chip_capacitor_1206V,C,chip_capacitor_1206,Capacitor 1500pF 5% 200V,"capacitor,smd",1,2,1500pF,5%,200V
capacitor,capacitor_1500pF_500_chip_capacitor_1206V,C,chip_capacitor_1206,Capacitor 1500pF 5% 500V,"capacitor,smd",1,2,1500pF,5%,500V
capacitor,capacitor_1500pF_10_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 10V,"capacitor,smd",1,2,1500pF,5%,10V
capacitor,capacitor_1500pF_16_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 16V,"capacitor,smd",1,2,1500pF,5%,16V
capacitor,capacitor_1500pF_25_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 25V,"capacitor,smd",1,2,1500pF,5%,25V
capacitor,capacitor_1500pF_50_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 50V,"capacitor,smd",1,2,1500pF,5%,50V
capacitor,capacitor_1500pF_100_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 100V,"capacitor,smd",1,2,1500pF,5%,100V
capacitor,capacitor_1500pF_200_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 200V,"capacitor,smd",1,2,1500pF,5%,200V
capacitor,capacitor_1500pF_500_chip_capacitor_1210V,C,chip_capacitor_1210,Capacitor 1500pF 5% 500V,"capacitor,smd",1,2,1500pF,5%,500V
capacitor,capacitor_2200pF_10_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 2200pF 5% 10V,"capacitor,smd",1,2,2200pF,5%,10V
capacitor,capacitor_2200pF_16_chip_capacitor_201V,C,chip_capacitor_201,Capacitor 2200pF 5% 16V,"capacitor,smd",1,2,2200pF,5%,16V
capacitor,capacitor_2200pF_10_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 2200pF 5% 10V,"capacitor,smd",1,2,2200pF,5%,10V
capacitor,capacitor_2200pF_16_chip_capacitor_402V,C,chip_capacitor_402,Capacitor 2200pF 5% 16V,"capacitor,smd",1,2,2200pF,5%,16V
